district,y_x,score,
0,6259_13990,0.215259325,
0,6259_13991,0.36068903,
0,6259_13992,0.166147695,
0,6260_13989,0.13912566,
0,6260_13990,0.213554761,
0,6260_13991,0.234409063,
0,6260_13992,0.279001373,
0,6260_13993,0.189532823,
0,6261_13988,0.129874844,
0,6261_13989,0.162969225,
0,6261_13990,0.318856013,
0,6261_13991,0.281358765,
0,6261_13992,0.133112548,
0,6261_13993,0.176153948,
0,6262_13988,0.124633643,
0,6262_13989,0.210748288,
0,6262_13990,0.286334815,
0,6262_13991,0.206286055,
0,6262_13992,0.206968085,
0,6263_13988,0.140486714,
0,6263_13989,0.1547202,
0,6263_13990,0.220269175,
0,6263_13991,0.234513088,
0,6263_13992,0.23949569,
0,6264_13987,0.102077715,
0,6264_13988,0.166250993,
0,6264_13989,0.234828728,
0,6264_13990,0.28442539,
0,6264_13991,0.234345608,
0,6264_13992,0.192877743,
0,6265_13986,0.122771923,
0,6265_13987,0.14673758,
0,6265_13988,0.156200959,
0,6265_13989,0.191923455,
0,6265_13990,0.240485715,
0,6265_13991,0.222121988,
0,6265_13992,0.1825177,
0,6265_13993,0.16193715,
0,6266_13986,0.426419483,
0,6266_13987,0.137296592,
0,6266_13988,0.091831579,
0,6266_13989,0.12590801,
0,6266_13990,0.187170548,
0,6266_13991,0.24655507,
0,6266_13992,0.23296255,
0,6266_13993,0.241591215,
0,6267_13986,0.13723906,
0,6267_13987,0.139018855,
0,6267_13988,0.090500809,
0,6267_13989,0.117805386,
0,6267_13990,0.2532602,
0,6267_13991,0.259217918,
0,6267_13992,0.29963518,
0,6267_13993,0.295898728,
0,6267_13994,0.16553427,
0,6268_13985,0.078183659,
0,6268_13986,0.145947305,
0,6268_13987,0.155884805,
0,6268_13988,0.136363755,
0,6268_13989,0.149483402,
0,6268_13990,0.206440518,
0,6268_13991,0.26212039,
0,6268_13992,0.162593895,
0,6268_13993,0.249988248,
0,6268_13994,0.23090348,
0,6268_13995,0.140238024,
0,6269_13985,0.076598876,
0,6269_13986,0.087239111,
0,6269_13987,0.129751557,
0,6269_13988,0.120170121,
0,6269_13989,0.150912105,
0,6269_13990,0.499979925,
0,6269_13991,0.417868295,
