,y_x,year,score
0,6228_13992,2016,-1.172756
1,6228_13993,2016,-4.016229
2,6228_13994,2016,-1.3937092
3,6228_13995,2016,-1.1840943
4,6228_13996,2016,-0.37497893
5,6229_13972,2016,-4.878642
6,6229_13973,2016,-6.5005293
7,6229_13974,2016,-3.300008
8,6229_13975,2016,-2.0835333
9,6229_13976,2016,-4.2695494
10,6229_13977,2016,-3.7710857
11,6229_13978,2016,-2.8222764
12,6229_13979,2016,-0.497533
13,6229_13980,2016,-0.6785809
14,6229_13981,2016,-0.18430477
15,6229_13982,2016,-0.11734663
16,6229_13983,2016,-0.121935666
17,6229_13984,2016,-0.26703265
18,6229_13985,2016,-0.5884456
19,6229_13986,2016,-0.12078543
20,6229_13987,2016,-0.82460696
21,6229_13988,2016,-1.4804026
22,6229_13989,2016,-3.6006386
23,6229_13990,2016,-0.98787034
24,6229_13991,2016,-0.34719184
25,6229_13992,2016,-6.4700074
26,6229_13993,2016,-5.564935
27,6229_13994,2016,-4.6057005
28,6229_13995,2016,-1.0975806
29,6230_13972,2016,-8.417804
30,6230_13973,2016,-3.8992522
31,6230_13974,2016,-3.2293942
32,6230_13975,2016,-1.8894293
33,6230_13976,2016,-3.5827785
34,6230_13977,2016,-4.715197
35,6230_13978,2016,-6.0495706
36,6230_13979,2016,-1.1242248
37,6230_13980,2016,-1.511484
38,6230_13981,2016,-4.697265
39,6230_13982,2016,-1.078164
40,6230_13983,2016,-0.23274128
41,6230_13984,2016,-0.26416323
42,6230_13985,2016,-0.58035517
43,6230_13986,2016,-0.2384779
44,6230_13987,2016,-0.18523905
45,6230_13988,2016,-0.16993827
46,6230_13989,2016,-0.29993626
47,6230_13990,2016,-1.9405328
48,6230_13991,2016,-1.2713212
49,6230_13992,2016,-2.0385513
50,6230_13993,2016,-6.9772587
51,6230_13994,2016,-0.6057025
52,6230_13995,2016,-0.5186495
53,6231_13973,2016,-3.5804534
54,6231_13974,2016,-7.292991
55,6231_13975,2016,-4.1401663
56,6231_13976,2016,-2.70908
57,6231_13977,2016,-5.7594094
58,6231_13978,2016,-1.2961807
59,6231_13979,2016,-0.39313543
60,6231_13980,2016,-0.90284973
61,6231_13981,2016,-0.818632
62,6231_13982,2016,-4.172504
63,6231_13983,2016,-0.9824166
64,6225_13978,2016,-2.7891498
65,6225_13979,2016,-4.419455
66,6225_13980,2016,-2.886132
67,6225_13981,2016,-1.6151208
68,6225_13982,2016,-2.0189366
69,6225_13983,2016,-0.095428884
70,6225_13984,2016,-2.2294233
71,6225_13985,2016,-5.2805405
72,6226_13974,2016,-3.845095
73,6226_13975,2016,-2.9053645
74,6226_13976,2016,-1.1579288
75,6226_13977,2016,-0.6453533
76,6226_13978,2016,-4.305017
77,6226_13979,2016,-4.80708
78,6226_13980,2016,-4.258211
79,6226_13981,2016,-2.2054808
80,6226_13982,2016,-0.96969503
81,6226_13983,2016,-2.0641472
82,6226_13984,2016,-1.0900928
83,6226_13985,2016,-1.5289946
84,6226_13986,2016,-8.454355
85,6227_13970,2016,-1.3003529
86,6227_13971,2016,-2.5690548
87,6227_13972,2016,-3.1038358
88,6227_13973,2016,-3.2315161
