district,y_x,score,,
0,6259_13990,0.26208583,,
0,6259_13991,0.3682534,,
0,6259_13992,0.23612347,,
0,6260_13989,0.18666364,,
0,6260_13990,0.3052265,,
0,6260_13991,0.2787296,,
0,6260_13992,0.2687443,,
0,6260_13993,0.18328808,,
0,6261_13988,0.13447206,,
0,6261_13989,0.28411102,,
0,6261_13990,0.33116925,,
0,6261_13991,0.2727477,,
0,6261_13992,0.18107261,,
0,6261_13993,0.18501845,,
0,6262_13988,0.20327029,,
0,6262_13989,0.31061107,,
0,6262_13990,0.2914678,,
0,6262_13991,0.18861906,,
0,6262_13992,0.18771575,,
0,6263_13988,0.19918269,,
0,6263_13989,0.24076393,,
0,6263_13990,0.21601744,,
0,6263_13991,0.23306495,,
0,6263_13992,0.21922047,,
0,6264_13987,0.19664244,,
0,6264_13988,0.3235032,,
0,6264_13989,0.31994173,,
0,6264_13990,0.26203674,,
0,6264_13991,0.23228142,,
0,6264_13992,0.19710244,,
0,6265_13986,0.11621986,,
0,6265_13987,0.23484561,,
0,6265_13988,0.25042367,,
0,6265_13989,0.29054877,,
0,6265_13990,0.29046407,,
0,6265_13991,0.36189914,,
0,6265_13992,0.1733382,,
0,6265_13993,0.237585,,
0,6266_13986,0.27629036,,
0,6266_13987,0.1724853,,
0,6266_13988,0.20253779,,
0,6266_13989,0.16135442,,
0,6266_13990,0.21782541,,
0,6266_13991,0.30941147,,
0,6266_13992,0.24654435,,
0,6266_13993,0.25285918,,
0,6267_13986,0.17352284,,
0,6267_13987,0.17286718,,
0,6267_13988,0.18314946,,
0,6267_13989,0.17177062,,
0,6267_13990,0.23954332,,
0,6267_13991,0.28038454,,
0,6267_13992,0.27311552,,
0,6267_13993,0.27026904,,
0,6267_13994,0.3017492,,
0,6268_13985,0.13604225,,
0,6268_13986,0.15064818,,
0,6268_13987,0.1875638,,
0,6268_13988,0.19358455,,
0,6268_13989,0.20225856,,
0,6268_13990,0.18905132,,
0,6268_13991,0.2970995,,
0,6268_13992,0.21799971,,
0,6268_13993,0.30981934,,
0,6268_13994,0.22764349,,
0,6268_13995,0.22583774,,
0,6269_13985,0.094151765,,
0,6269_13986,0.15056139,,
0,6269_13987,0.19285062,,
0,6269_13988,0.16671966,,
0,6269_13989,0.19556287,,
0,6269_13990,0.33840162,,
0,6269_13991,0.32600805,,
0,6269_13992,0.3077083,,
0,6269_13993,0.26312706,,
0,6269_13994,0.2288814,,
0,6269_13995,0.24336217,,
0,6270_13985,0.1060445,,
0,6270_13986,0.13152842,,
0,6270_13987,0.121315524,,
0,6270_13988,0.12255822,,
0,6270_13989,0.21138172,,
0,6270_13990,0.27099365,,
0,6270_13991,0.2915831,,
0,6270_13992,0.25504482,,
0,6270_13993,0.356734,,
0,6270_13994,0.24329853,,
0,6270_13995,0.20744546,,
0,6271_13987,0.10612562,,
0,6271_13988,0.17723383,,
0,6271_13989,0.20223403,,
0,6271_13990,0.2565079,,
0,6271_13991,0.36582312,,
0,6271_13992,0.3800429,,
0,6271_13993,0.32641613,,
0,6271_13994,0.39092526,,
0,6271_13995,0.1623142,,
0,6272_13988,0.10991202,,
0,6272_13989,0.24511153,,
0,6272_13990,0.18187043,,
0,6272_13991,0.1947246,,
0,6272_13992,0.12300397,,
0,6272_13993,0.20659468,,
0,6273_13988,0.12631954,,
0,6273_13989,0.28003097,,
0,6273_13990,0.12062842,,
1,6269_13982,0.07972985,,
1,6269_13983,0.09982366,,
1,6270_13982,0.13047437,,
1,6270_13983,0.08514758,,
