district,y_x,year2016,year2017,year2018,year2019,4years_mean,FA2014,lnFA2014
0,6259_13990,0.10559724,0.08133072,0.10964649,0.07532061,0.092973765,28240.91587,10.24852712
0,6259_13991,0.09333694,0.10216653,0.16397393,0.09855163,0.114507258,32860.81248,10.40003612
0,6259_13992,0.10137601,0.08188413,0.11991574,0.086924195,0.097525019,43246.58307,10.67467351
0,6260_13989,0.0830214,0.031729676,0.0688913,0.018144207,0.050446646,3103.045177,8.040139223
0,6260_13990,0.088743486,0.10135144,0.12453801,0.08186224,0.099123794,16225.33426,9.694329143
0,6260_13991,0.09218113,0.094142646,0.14211479,0.096221074,0.10616491,41326.02885,10.62924782
0,6260_13992,0.083471015,0.09807764,0.12803188,0.08712242,0.099175739,57491.51236,10.9593926
0,6260_13993,0.06005561,0.09408978,0.10349966,0.07753672,0.083795443,22394.96189,10.0165913
0,6261_13988,0.06550912,0.011133729,0.016520051,0.042296004,0.033864726,312.2751984,5.743884845
0,6261_13989,0.005123727,0.053887777,0.064981,0.05743706,0.045357391,20479.29218,9.927169517
0,6261_13990,0.12311248,0.121302746,0.12455318,0.114003986,0.120743098,100420.4767,11.51712142
0,6261_13991,0.09625784,0.09991756,0.121501215,0.09696375,0.103660091,21742.29515,9.987014728
0,6261_13992,0.06979901,0.0595968,0.08738834,0.029733427,0.061629394,42327.55406,10.65319355
0,6261_13993,0.07546679,0.097913995,0.110770114,0.09198168,0.094033145,17923.98316,9.793894936
0,6262_13988,0,0.013176197,0.053238653,0.04290635,0.0273303,625.2354824,6.438128351
0,6262_13989,0.057489455,0.07965171,0.12944642,0.049366836,0.078988605,49992.68331,10.81963194
0,6262_13990,0.09173794,0.10156834,0.12502655,0.09735878,0.103922903,114035.9179,11.64426875
0,6262_13991,0.09660358,0.07601875,0.10828065,0.06755108,0.087113515,6033.562874,8.705092973
0,6262_13992,0.07780321,0.046376344,0.09287609,0.059066378,0.069030506,19693.64328,9.888051187
