,direc,y_x,score
0,102,7412_13018,0.015068806
1,102,7406_13002,0.049353294
2,102,7409_13002,0.0
3,102,7401_13002,0.0018860009
4,102,7412_13019,0.020120682
5,102,7409_13003,0.01675334
6,102,7406_13003,0.084447995
7,102,7401_13003,0.0018720627
8,102,7409_13004,0.042718496
9,102,7412_13020,0.015862422
10,102,7406_13004,0.05569751
11,102,7401_13022,0.0
12,102,7409_13005,0.044000447
13,102,7413_13003,0.0
14,102,7406_13005,0.05621481
15,102,7402_13001,0.034114607
16,102,7409_13006,0.06835926
17,102,7413_13004,0.0
18,102,7409_13023,0.0
19,102,7406_13023,0.0
20,102,7403_13022,0.0
21,102,7414_13005,0.0034807716
22,102,7409_13024,0.001673365
23,102,7406_13024,0.0
24,102,7403_13023,0.0
25,102,7414_13006,0.0
26,102,7409_13025,0.0056610927
27,102,7406_13025,0.0
28,102,7403_13024,0.0
29,102,7414_13007,0.0
30,102,7409_13026,0.0
31,102,7406_13026,0.0025860947
32,102,7403_13025,0.0
33,102,7414_13008,0.0
34,102,7409_13027,0.0
35,102,7406_13027,0.0
36,102,7404_12999,0.06050802
37,102,7414_13009,0.0
38,102,7410_13002,0.0
39,102,7406_13028,0.0
40,102,7404_13000,0.06550845
41,102,7414_13010,0.056524232
42,102,7410_13003,0.0
43,102,7406_13029,0.0
44,102,7404_13001,0.04228267
45,102,7414_13011,0.028842252
46,102,7410_13004,0.0
47,102,7406_13030,0.0
48,102,7404_13002,0.035716567
49,102,7414_13012,0.0
50,102,7410_13005,0.01562512
51,102,7407_13001,0.023917925
52,102,7404_13003,0.03306249
53,102,7414_13013,0.0
54,102,7410_13006,0.04924354
55,102,7407_13002,0.098224424
56,102,7404_13004,0.05356918
57,102,7414_13014,0.0
58,102,7410_13007,0.030361133
59,102,7407_13003,0.05611089
60,102,7404_13005,0.012163622
61,102,7414_13015,0.003615547
62,102,7410_13008,0.02670221
63,102,7407_13004,0.07933726
64,102,7404_13006,0.045231536
65,102,7414_13016,0.007673012
66,102,7410_13009,0.006889444
67,102,7407_13005,0.0658807
68,102,7404_13007,0.035350725
69,102,7410_13010,0.005093202
70,102,7414_13017,0.013126129
71,102,7407_13006,0.07453534
72,102,7404_13008,0.0
73,102,7410_13011,0.020108111
74,102,7414_13018,0.04133136
75,102,7407_13007,0.07836063
76,102,7404_13009,0.0
77,102,7410_13012,0.049144603
78,102,7414_13019,0.0782093
79,102,7407_13008,0.0133211585
80,102,7404_13010,0.0
81,102,7410_13013,0.019487616
82,102,7415_13003,0.0
83,102,7407_13009,0.0
84,102,7404_13011,0.0
85,102,7410_13014,0.03889186
86,102,7415_13004,0.0038349573
87,102,7407_13010,0.0033236146
88,102,7404_13012,0.0
89,102,7410_13015,0.050398663
90,102,7407_13011,0.033544987
91,102,7415_13005,0.0070701744
92,102,7404_13013,0.0
93,102,7410_13016,0.054892316
94,102,7415_13006,0.0
95,102,7407_13012,0.06294123
96,102,7404_13014,0.008233909
97,102,7410_13017,0.03755059
98,102,7407_13013,0.07145558
99,102,7415_13007,0.0041618254
100,102,7404_13015,0.0
101,102,7410_13018,0.028096065
102,102,7407_13014,0.041548744
103,102,7415_13008,0.0
104,102,7404_13016,0.0
105,102,7410_13019,0.054079965
106,102,7407_13015,0.106543235
107,102,7415_13009,0.03381494
108,102,7404_13017,0.0
109,102,7407_13016,0.10274629
110,102,7415_13010,0.06417718
111,102,7404_13018,0.0
112,102,7410_13020,0.021676354
113,102,7407_13017,0.021086857
114,102,7415_13011,0.0
115,102,7404_13019,0.0
116,102,7410_13021,0.0
117,102,7407_13018,0.0017571785
118,102,7415_13012,0.005278079
119,102,7404_13020,0.016180914
120,102,7410_13022,0.00839215
121,102,7407_13019,0.0
122,102,7415_13013,0.0
123,102,7404_13021,0.021842541
124,102,7410_13023,0.0
125,102,7407_13020,0.0
126,102,7415_13014,0.0
127,102,7404_13022,0.036929578
128,102,7410_13024,0.0
129,102,7407_13021,0.008340238
130,102,7415_13015,0.0
131,102,7404_13023,0.002375016
132,102,7410_13025,0.0
133,102,7407_13022,0.0031830203
134,102,7415_13016,0.0
135,102,7404_13024,0.0
136,102,7410_13026,0.009368954
137,102,7415_13017,0.0
138,102,7407_13023,0.0
139,102,7404_13025,0.0
140,102,7411_13003,0.0004378017
141,102,7415_13018,0.016889634
142,102,7407_13024,0.0
143,102,7404_13026,0.0
144,102,7411_13004,0.0
145,102,7416_13003,0.0018368438
146,102,7407_13025,0.0
147,102,7405_13000,0.099834286
148,102,7411_13005,0.0
149,102,7416_13004,0.012539523
150,102,7407_13026,0.0
151,102,7405_13001,0.11625682
152,102,7411_13006,0.0
153,102,7416_13005,0.0
154,102,7407_13027,0.0
155,102,7405_13002,0.08727795
156,102,7411_13007,0.009715565
157,102,7407_13028,0.0
158,102,7416_13006,0.0031145047
159,102,7405_13003,0.07653208
160,102,7411_13008,0.0
161,102,7416_13007,0.0
162,102,7407_13029,0.0
163,102,7405_13004,0.059117213
164,102,7411_13009,0.012001269
165,102,7408_13001,0.0
166,102,7405_13005,0.04882513
167,102,7411_13010,0.0020439904
168,102,7416_13008,0.032921292
169,102,7408_13002,0.0054522622
170,102,7405_13006,0.05591733
171,102,7411_13011,0.033835247
172,102,7416_13009,0.0713936
173,102,7408_13003,0.05403542
174,102,7405_13007,0.017969172
175,102,7411_13012,0.0
176,102,7416_13010,0.059670147
177,102,7408_13004,0.07514382
178,102,7405_13008,0.00027823076
179,102,7411_13013,0.000817297
180,102,7416_13011,0.043541446
181,102,7408_13005,0.046044335
182,102,7405_13009,0.0
183,102,7411_13014,0.0
184,102,7416_13012,0.0
185,102,7408_13006,0.028635774
186,102,7405_13010,0.0
187,102,7411_13015,0.009805882
188,102,7416_13013,0.0
189,102,7408_13007,0.013011994
190,102,7405_13011,0.0
191,102,7411_13016,0.06805362
192,102,7416_13014,0.0
193,102,7408_13008,0.010725154
194,102,7405_13012,0.0
195,102,7411_13017,0.05262811
196,102,7417_13003,0.0
197,102,7408_13009,0.015881272
198,102,7405_13013,0.0
199,102,7411_13018,0.0015770476
200,102,7417_13004,0.017836917
201,102,7408_13010,0.0
202,102,7405_13014,0.007843835
203,102,7417_13005,0.006228538
204,102,7411_13019,0.026589308
205,102,7408_13011,0.060628116
206,102,7405_13015,0.004866123
207,102,7417_13006,0.05409973
208,102,7411_13020,0.0
209,102,7408_13012,0.08894691
210,102,7405_13016,0.026427966
211,102,7417_13007,0.0064328015
212,102,7411_13021,0.0
213,102,7408_13013,0.12851368
214,102,7405_13017,0.011107439
215,102,7417_13008,0.0
216,102,7411_13022,0.0
217,102,7408_13014,0.1758077
218,102,7405_13018,0.0
219,102,7417_13009,0.0073811617
220,102,7412_13003,0.0
221,102,7408_13015,0.16899909
222,102,7405_13019,0.0071908366
223,102,7417_13010,0.033900112
224,102,7412_13004,0.0
225,102,7408_13016,0.14011969
226,102,7405_13020,0.0
227,102,7417_13011,0.0
228,102,7412_13005,0.0
229,102,7408_13017,0.00054155476
230,102,7405_13021,0.0
231,102,7417_13012,0.0
232,102,7412_13006,0.0
233,102,7408_13018,0.0
234,102,7405_13022,0.0
235,102,7417_13013,0.0
236,102,7412_13007,0.0
237,102,7405_13023,0.0022052024
238,102,7408_13019,0.0023131054
239,102,7418_13004,0.0
240,102,7412_13008,0.0059826523
241,102,7405_13024,0.0
242,102,7408_13020,0.0
243,102,7418_13005,0.0
244,102,7412_13009,0.017990693
245,102,7405_13025,0.0
246,102,7408_13021,0.045478866
247,102,7418_13006,0.0
248,102,7412_13010,0.010018894
249,102,7405_13026,0.0
250,102,7408_13022,0.020378962
251,102,7418_13007,0.0
252,102,7412_13011,0.0040618815
253,102,7408_13023,0.025416669
254,102,7405_13027,0.0
255,102,7418_13008,0.0035120752
256,102,7412_13012,0.048411697
257,102,7408_13024,0.049698215
258,102,7405_13028,0.0
259,102,7418_13009,0.013448777
260,102,7412_13013,0.049390495
261,102,7408_13025,0.017673334
262,102,7405_13029,0.0
263,102,7418_13010,0.030224726
264,102,7412_13014,0.003218228
265,102,7408_13026,0.0
266,102,7405_13030,0.0
267,102,7418_13011,0.015668064
268,102,7412_13015,0.0
269,102,7408_13027,0.0
270,102,7406_13000,0.09231515
271,102,7419_13007,0.0
272,102,7412_13016,0.027011061
273,102,7408_13028,0.0
274,102,7406_13001,0.08504623
275,102,7419_13008,0.006715281
276,102,7412_13017,0.053435132
277,102,7419_13009,0.0072772745
278,102,7419_13010,0.0023024771
279,102,7406_13006,0.055332214
280,102,7402_13002,0.0056707673
281,102,7409_13007,0.08129062
282,102,7413_13005,0.0
283,102,7406_13007,0.012236087
284,102,7402_13003,0.006725261
285,102,7409_13008,0.02321462
286,102,7413_13006,0.002509376
287,102,7406_13008,0.0
288,102,7402_13004,0.019834347
289,102,7413_13007,0.0
290,102,7409_13009,0.017704636
291,102,7406_13009,0.0
292,102,7402_13005,0.03070135
293,102,7413_13008,0.0
294,102,7409_13010,0.03190299
295,102,7406_13010,0.0
296,102,7402_13021,0.0
297,102,7413_13009,0.035167832
298,102,7409_13011,0.038705207
299,102,7406_13011,0.0
300,102,7402_13022,0.0
301,102,7413_13010,0.010903647
302,102,7409_13012,0.07497018
303,102,7406_13012,0.0008554738
304,102,7402_13023,0.0
305,102,7413_13011,0.05773201
306,102,7409_13013,0.15984991
307,102,7406_13013,0.0
308,102,7402_13024,0.0
309,102,7413_13012,0.030065432
310,102,7409_13014,0.13175921
311,102,7406_13014,0.0
312,102,7403_13000,0.035979252
313,102,7413_13013,0.025251346
314,102,7409_13015,0.14209144
315,102,7406_13015,0.0
316,102,7403_13001,0.02599281
317,102,7413_13014,0.020876113
318,102,7409_13016,0.1314563
319,102,7406_13016,0.022418989
320,102,7403_13002,0.0014517363
321,102,7413_13015,0.00059541315
322,102,7409_13017,0.03418586
323,102,7406_13017,0.014852588
324,102,7403_13003,0.016185503
325,102,7413_13016,0.01852258
326,102,7409_13018,0.033505835
327,102,7406_13018,0.025788223
328,102,7403_13004,0.059659302
329,102,7413_13017,0.041996263
330,102,7409_13019,0.0024642441
331,102,7406_13019,0.0105146505
332,102,7403_13005,0.057340283
333,102,7413_13018,0.041143935
334,102,7409_13020,0.015584611
335,102,7406_13020,0.0017782804
336,102,7403_13006,0.060708404
337,102,7413_13019,0.03186614
338,102,7409_13021,0.0015386846
339,102,7406_13021,0.0
340,102,7403_13007,0.010899924
341,102,7414_13003,0.0
342,102,7409_13022,0.0
343,102,7406_13022,0.0
344,102,7403_13021,0.015320223
345,102,7414_13004,0.0029355157
346,11,7342_12832,0.10068896
347,11,7347_12826,0.0717889
348,11,7337_12827,0.053859055
349,11,7351_12833,0.06428138
350,11,7337_12828,0.08062703
351,11,7347_12827,0.05099933
352,11,7351_12834,0.049924143
353,11,7342_12833,0.107527256
354,11,7347_12828,0.11022775
355,11,7337_12829,0.104291365
356,11,7352_12822,0.044655856
357,11,7342_12834,0.05837165
358,11,7347_12829,0.060611196
359,11,7337_12830,0.060544997
360,11,7352_12823,0.013270678
361,11,7342_12835,0.04768967
362,11,7347_12830,0.03627446
363,11,7337_12831,0.06687389
364,11,7352_12824,0.039372277
365,11,7343_12824,0.0063003544
366,11,7337_12832,0.12090458
367,11,7347_12831,0.09672222
368,11,7352_12825,0.014153703
369,11,7343_12825,0.027179088
370,11,7338_12826,0.056377545
371,11,7347_12832,0.047077596
372,11,7352_12826,0.013592886
373,11,7343_12826,0.051411815
374,11,7347_12833,0.07441209
375,11,7338_12827,0.07079223
376,11,7352_12827,0.033682037
377,11,7343_12827,0.092218205
378,11,7347_12834,0.1088845
379,11,7338_12828,0.10570099
380,11,7352_12828,0.043065242
381,11,7348_12824,0.077122375
382,11,7338_12829,0.09766846
383,11,7352_12829,0.0630735
384,11,7343_12828,0.099055514
385,11,7348_12825,0.013572297
386,11,7338_12830,0.04113652
387,11,7352_12830,0.037386257
388,11,7343_12829,0.07924886
389,11,7338_12831,0.08927435
390,11,7348_12826,0.041196376
391,11,7352_12831,0.024376046
392,11,7343_12830,0.029292492
393,11,7338_12832,0.07546586
394,11,7348_12827,0.08169671
395,11,7352_12832,0.047015764
396,11,7343_12831,0.079899095
397,11,7338_12833,0.08705568
398,11,7348_12828,0.11844133
