image_id,urban,rural,uninhabited
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0.25,0.75
7,0,0.25,0.75
8,0,0,1
9,1,0,0
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0.25,0.75
14,0,0.25,0.75
15,0.25,0.75,0
16,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0.25,0.75
21,0,0.25,0.75
22,0,0,1
23,0,0.25,0.75
24,0,0,1
25,0,0.25,0.75
26,0,0.25,0.75
27,0,0.25,0.75
28,0,0,1
29,0,0,1
30,0,1,0
31,0.25,0.75,0
32,0.25,0.75,0
33,0.25,0.75,0
34,0,1,0
35,0,0.75,0.25
36,0,0.5,0.5
37,0,0,1
38,0,0,1
39,0,0.75,0.25
40,0,0,1
41,0,0.25,0.75
42,0,0.25,0.75
43,0,0.5,0.5
44,0.25,0.75,0
45,0,0,1
46,0,0,1
47,0,0,1
48,0,0,1
49,0,0.25,0.75
50,0,0,1
51,0,1,0
52,0,1,0
53,0,0.75,0.25
54,0,0,1
55,0,0.5,0.5
56,0,0,1
57,0,0,1
58,0.25,0.75,0
59,0.25,0.75,0
60,0,0,1
61,0,0,1
62,0,1,0
63,0,0,1
64,0,0.25,0.75
65,0,0.5,0.5
66,0,0.25,0.75
67,0,0,1
68,0,0.25,0.75
69,0,0,1
70,0,0,1
71,0,0.25,0.75
72,0,0.75,0.25
73,1,0,0
74,0,0.75,0.25
75,0,0,1
76,0,1,0
77,0.25,0.75,0
78,0,0.25,0.75
79,0,0,1
80,0,1,0
81,0,0,1
82,0,0,1
83,0,0.25,0.75
84,0,0,1
85,0,0,1
86,0,0.25,0.75
87,0.25,0.75,0
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0.25,0.75
94,0,0,1
95,0,0.25,0.75
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0.25,0.75
100,0,0,1
101,0,0,1
102,0,0.25,0.75
103,0.25,0.75,0
104,0,1,0
105,0,0.25,0.75
106,0,0.25,0.75
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0.25,0.75
115,0,0,1
116,0,0,1
117,0,0.25,0.75
118,0,0,1
119,0,0.75,0.25
120,0,0,1
121,0.25,0.75,0
122,0,0.25,0.75
123,0,0.25,0.75
124,0,0.25,0.75
125,0,0,1
126,0,0.25,0.75
127,0,0.25,0.75
128,0,0.25,0.75
129,0,1,0
130,0,0,1
131,0,0,1
132,0,0.25,0.75
133,0,0.25,0.75
134,0,0,1
135,0,0.25,0.75
136,0,0,1
137,0,0,1
138,0,0,1
139,0,0,1
140,0,0,1
141,0,0,1
142,0,0,1
143,0,0,1
144,0,0.25,0.75
145,0,0,1
146,0,0,1
147,0.25,0.75,0
